,obstacle_density,food_density,nr_hives,Run,baby_bee,death_age,food,forage_bee,n_bees,n_births,n_deaths,rest_bee,scout_bee,width,height
0,10,5,1,0,0,0,34.99999999999994,4,40,0,0,1,35,50,50
1,10,5,1,1,0,0,51.999999999999915,5,40,0,0,2,33,50,50
2,10,5,1,2,0,0,39.39999999999995,4,40,0,0,2,34,50,50
3,10,5,1,3,0,0,25.000000000000018,1,40,0,0,2,37,50,50
4,10,5,1,4,0,0,21.600000000000012,1,40,0,0,1,38,50,50
5,10,5,1,5,0,0,35.39999999999999,5,40,0,0,3,32,50,50
6,10,5,1,6,0,0,54.19599999999991,3,41,1,0,2,36,50,50
7,10,5,1,7,0,0,32.8,2,40,0,0,2,36,50,50
8,10,5,1,8,0,0,32.999999999999915,6,40,0,0,1,33,50,50
9,10,5,1,9,0,0,31.600000000000023,3,40,0,0,1,36,50,50
10,10,5,3,10,0,0,58.60000000000004,12,120,0,0,2,106,50,50
11,10,5,3,11,0,0,119.19999999999986,4,120,0,0,6,110,50,50
12,10,5,3,12,0,0,57.57779899799995,4,121,0,0,0,117,50,50
13,10,5,3,13,0,0,96.79197999999988,7,120,0,0,3,110,50,50
14,10,5,3,14,0,0,100.99999999999989,6,120,0,0,3,111,50,50
15,10,5,3,15,0,0,88.59999999999991,13,120,0,0,6,101,50,50
16,10,5,3,16,0,0,40.00000000000003,3,120,0,0,1,116,50,50
17,10,5,3,17,0,0,100.19999999999999,11,120,0,0,3,106,50,50
18,10,5,3,18,0,0,115.39999999999992,8,120,0,0,6,106,50,50
19,10,5,3,19,0,0,148.38991979999975,7,121,0,0,11,103,50,50
20,10,5,5,20,0,0,94.80000000000005,10,200,0,0,5,185,50,50
21,10,5,5,21,0,0,125.99800000000006,6,201,0,0,3,192,50,50
22,10,5,5,22,0,0,83.20000000000007,3,200,0,0,5,192,50,50
23,10,5,5,23,0,0,138.59597999999988,12,201,0,0,4,185,50,50
24,10,5,5,24,0,0,105.9999999999999,11,200,0,0,2,187,50,50
25,10,5,5,25,0,0,150.35729295785967,3,202,0,0,5,194,50,50
26,10,5,5,26,0,0,99.39999999999998,9,200,0,0,3,188,50,50
