,Bees,HiveFood,Scout bees,Foraging bees,Rester bees,Baby bees,Scout bees_death_count,Foraging bees_death_count,Rester bees_death_count
0,80,0.0,80,0,0,0,0,0,0
1,80,0.0,78,2,0,0,0,0,0
2,80,0.0,78,2,0,0,0,0,0
3,80,10.0,78,0,2,0,0,0,0
4,80,9.600000000000001,78,0,2,0,0,0,0
5,80,9.200000000000003,76,2,2,0,0,0,0
6,80,9.200000000000003,76,4,0,0,0,0,0
7,80,9.200000000000003,76,4,0,0,0,0,0
8,80,9.200000000000003,78,2,0,0,0,0,0
9,80,9.200000000000003,78,2,0,0,0,0,0
10,80,14.200000000000003,77,1,2,0,0,0,0
11,80,14.000000000000004,75,3,2,0,0,0,0
12,80,13.800000000000004,75,3,2,0,0,0,0
13,80,13.600000000000005,75,3,2,0,0,0,0
14,80,13.600000000000005,74,6,0,0,0,0,0
15,80,18.600000000000005,74,5,1,0,0,0,0
16,80,23.400000000000006,75,3,2,0,0,0,0
17,80,23.000000000000007,75,3,2,0,0,0,0
18,80,27.60000000000001,75,2,3,0,0,0,0
19,80,27.00000000000001,75,2,3,0,0,0,0
20,80,26.600000000000012,75,3,2,0,0,0,0
21,80,31.400000000000013,75,3,2,0,0,0,0
22,80,31.000000000000014,75,3,2,0,0,0,0
23,80,30.600000000000016,75,3,2,0,0,0,0
24,80,30.400000000000016,75,4,1,0,0,0,0
25,80,30.200000000000017,76,3,1,0,0,0,0
26,80,35.000000000000014,77,1,2,0,0,0,0
27,80,34.80000000000001,76,3,1,0,0,0,0
28,80,34.60000000000001,76,3,1,0,0,0,0
29,80,34.400000000000006,76,3,1,0,0,0,0
30,80,34.2,74,5,1,0,0,0,0
31,80,34.0,74,5,1,0,0,0,0
32,80,33.8,74,5,1,0,0,0,0
33,80,33.8,72,8,0,0,0,0,0
34,80,33.8,72,8,0,0,0,0,0
35,80,43.8,72,6,2,0,0,0,0
36,80,48.39999999999999,72,5,3,0,0,0,0
37,80,47.79999999999998,72,5,3,0,0,0,0
38,80,47.199999999999974,71,6,3,0,0,0,0
39,80,46.599999999999966,71,6,3,0,0,0,0
40,80,50.99999999999996,71,5,4,0,0,0,0
41,80,50.199999999999946,72,4,4,0,0,0,0
42,80,54.399999999999935,71,4,5,0,0,0,0
43,80,53.39999999999992,71,3,6,0,0,0,0
44,80,52.79999999999991,70,6,4,0,0,0,0
45,80,52.399999999999906,70,6,4,0,0,0,0
46,80,51.9999999999999,70,6,4,0,0,0,0
47,80,51.599999999999895,69,7,4,0,0,0,0
48,80,51.19999999999989,69,7,4,0,0,0,0
49,80,50.79999999999988,71,5,4,0,0,0,0
50,80,55.59999999999988,71,5,4,0,0,0,0
51,80,55.199999999999875,71,5,4,0,0,0,0
52,80,54.99999999999987,71,6,3,0,0,0,0
53,80,59.79999999999987,71,5,4,0,0,0,0
54,80,59.399999999999864,72,5,3,0,0,0,0
55,80,63.99999999999986,72,3,5,0,0,0,0
56,80,63.39999999999985,70,6,4,0,0,0,0
57,80,62.79999999999984,69,7,4,0,0,0,0
58,80,62.19999999999983,69,7,4,0,0,0,0
59,80,61.599999999999824,71,5,4,0,0,0,0
60,80,60.999999999999815,66,10,4,0,0,0,0
61,80,60.59999999999981,65,12,3,0,0,0,0
62,80,60.39999999999981,64,14,2,0,0,0,0
63,80,60.199999999999804,64,13,3,0,0,0,0
64,80,59.997999999999806,64,12,4,0,0,0,0
65,80,69.7939799999998,64,9,7,0,0,0,0
66,80,69.1939799999998,65,8,7,0,0,0,0
67,80,73.59397999999979,65,8,7,0,0,0,0
68,80,77.99397999999978,64,10,6,0,0,0,0
69,80,82.19397999999977,63,10,7,0,0,0,0
70,80,81.19397999999975,62,11,7,0,0,0,0
71,80,80.19397999999974,62,11,7,0,0,0,0
72,80,84.19397999999973,62,10,8,0,0,0,0
73,80,88.19397999999971,62,10,8,0,0,0,0
74,80,86.9939799999997,62,9,9,0,0,0,0
75,80,90.79397999999968,63,7,10,0,0,0,0
76,80,94.39397999999966,63,5,12,0,0,0,0
77,80,92.79397999999964,63,5,12,0,0,0,0
78,80,91.39397999999962,64,6,10,0,0,0,0
79,80,89.9939799999996,64,6,10,0,0,0,0
80,80,88.99397999999958,63,10,7,0,0,0,0
81,80,87.99397999999957,63,10,7,0,0,0,0
82,80,86.99397999999955,63,10,7,0,0,0,0
83,80,90.99397999999954,64,8,8,0,0,0,0
84,80,90.19397999999953,64,10,6,0,0,0,0
85,80,94.79397999999952,65,9,6,0,0,0,0
86,80,94.19397999999951,66,8,6,0,0,0,0
87,80,93.58797999999952,68,6,6,0,0,0,0
88,80,92.98797999999951,69,5,6,0,0,0,0
89,80,92.38197999999952,70,3,7,0,0,0,0
90,80,91.7819799999995,60,13,7,0,0,0,0
91,80,91.1819799999995,56,17,7,0,0,0,0
92,80,90.78197999999949,56,17,7,0,0,0,0
93,80,90.3779799999995,55,19,6,0,0,0,0
94,80,94.9699399999995,56,17,7,0,0,0,0
95,80,104.35175939999951,57,13,10,0,0,0,0
96,80,108.3517593999995,56,13,11,0,0,0,0
97,80,117.35175939999948,56,12,12,0,0,0,0
98,80,125.95175939999946,55,11,14,0,0,0,0
99,80,124.35175939999944,54,13,13,0,0,0,0
100,80,127.75175939999949,54,10,16,0,0,0,0
101,80,131.1517593999995,52,12,16,0,0,0,0
102,80,134.3517593999996,52,11,17,0,0,0,0
103,80,132.3517593999997,54,9,17,0,0,0,0
104,80,130.5517593999998,54,11,15,0,0,0,0
105,80,128.7517593999999,55,12,13,0,0,0,0
106,80,126.95175939999993,55,12,13,0,0,0,0
107,80,130.15175939999992,55,10,15,0,0,0,0
108,80,128.15175940000003,56,9,15,0,0,0,0
109,80,126.3517594,56,10,14,0,0,0,0
110,80,124.75175939999998,56,11,13,0,0,0,0
111,80,133.1517594,57,9,14,0,0,0,0
112,80,136.15175940000012,56,10,14,0,0,0,0
113,80,133.95175940000024,56,10,14,0,0,0,0
